CÓDIGO OACI,CIAD,NOME,MUNICÍPIO ATENDIDO,UF,LATITUDE,LONGITUDE,ALTITUDE,OPERAÇÃO,DESIGNAÇÃO,COMPRIMENTO,LARGURA,RESISTÊNCIA,SUPERFÍCIE
SWPZ,GO0010,ORIÇANGA DE ABREU,POSSE,GO,14° 7' 26'' S,46° 20' 31'' W,827 m,VFR Diurno,10/28,1500 m,25 m,PCN 18/F/B/Y/T,Asfalto
SWRO,RO0002,AEROCLUBE DE RONDÔNIA,PORTO VELHO,RO,8° 47' 37'' S,63° 51' 29'' W,113 m,VFR Diurno,01/19,1300 m,30 m,PCN 8/F/C/Y/U,Terra
SBSI,MT0002,PRESIDENTE JOÃO BATISTA FIGUEIREDO,SINOP,MT,11° 53' 6'' S,55° 35' 10'' W,374 m,VFR Diurno/Noturno,03/21,1630 m,30 m,PCN 36/F/A/X/T,Asfalto
SWTO,TO0008,PARAÍSO DO TOCANTINS,PARAÍSO DO TOCANTINS,TO,10° 10' 26'' S,48° 55' 58'' W,330 m,VFR Diurno,10/28,1200 m,30 m,PCN 20/F/C/X/U,Asfalto
SWTP,AM0022,SANTA ISABEL DO RIO NEGRO,SANTA ISABEL DO RIO NEGRO,AM,0° 25' 1'' S,65° 2' 2'' W,68 m,VFR Diurno,09/27,1200 m,30 m,PCN 8/F/C/Y/U,Asfalto
SWTS,MT0012,TANGARÁ DA SERRA,TANGARÁ DA SERRA,MT,14° 39' 43'' S,57° 26' 38'' W,449 m,VFR Diurno,18/36,1500 m,30 m,PCN 12/F/B/X/T,Asfalto
SWTY,TO0009,TAGUATINGA,TAGUATINGA,TO,12° 26' 2'' S,46° 24' 2'' W,597 m,VFR Diurno,05/23,1200 m,40 m,PCN 8/F/C/Y/U,Terra
SWUA,GO0011,SÃO MIGUEL DO ARAGUAIA,SÃO MIGUEL DO ARAGUAIA,GO,13° 20' 2'' S,50° 12' 21'' W,384 m,VFR Diurno,08/26,1500 m,30 m,"5700 kg / 0,5 MPa",Asfalto
SWUD,MG0069,DEPUTADO OSWALDO TOLENTINO,CLÁUDIO,MG,20° 26' 45'' S,44° 48' 47'' W,820 m,VFR Diurno,12/30,1000 m,30 m,PCN 15/F/B/Y/T,Asfalto
SWUZ,GO0025,BRIGADEIRO ARARIPE MACEDO,LUZIÂNIA,GO,16° 15' 42'' S,47° 58' 7'' W,996 m,VFR Diurno,11/29,1200 m,20 m,PCN 8/F/C/Y/U,Asfalto
SWVB,MT0020,VILA BELA DA SANTÍSSIMA TRINDADE,VILA BELA DA SANTÍSSIMA TRINDADE,MT,15° 0' 55'' S,59° 58' 2'' W,270 m,VFR Diurno,01/19,1200 m,20 m,PCN 8/F/C/Y/U,Terra
SWVC,MT0016,VILA RICA,VILA RICA,MT,9° 58' 52'' S,51° 8' 26'' W,272 m,VFR Diurno,07/25,1350 m,40 m,"4000 kg / 0,5 MPa",Terra
SWWA,GO0012,PORANGATU,PORANGATU,GO,13° 24' 16'' S,49° 9' 26'' W,366 m,VFR Diurno/Noturno,14/32,1500 m,23 m,"5700 kg / 0,5 MPa",Asfalto
SWWU,GO0013,URUAÇU,URUAÇU,GO,14° 32' 41'' S,49° 5' 28'' W,520 m,VFR Diurno,18/36,1440 m,30 m,"5700 kg / 0,5 MPa",Asfalto
SWXM,MT0014,REGIONAL ORLANDO VILLAS BOAS,MATUPÁ,MT,10° 10' 13'' S,54° 57' 10'' W,283 m,VFR Diurno,02/20,1482 m,18 m,"5700 kg / 0,5 MPa",Cascalho
SWXQ,SP0015,LINS,LINS,SP,21° 39' 46'' S,49° 43' 52'' W,480 m,VFR Diurno/Noturno,14/32,1700 m,35 m,PCN 30/F/B/X/T,Asfalto
SWXV,MT0013,XAVANTINA,NOVA XAVANTINA,MT,14° 41' 27'' S,52° 20' 57'' W,316 m,VFR Diurno,03/21,1490 m,45 m,PCN 10/F/C/Y/U,Terra
SWYN,AM0023,APUÍ,APUÍ,AM,7° 10' 20'' S,59° 50' 20'' W,60 m,VFR Diurno,08/26,1200 m,23 m,PCN 12/F/B/Y/U,Asfalto
SBJH,SP1176,SÃO PAULO CATARINA AEROPORTO EXECUTIVO,SÃO ROQUE,SP,23° 25' 37'' S,47° 9' 57'' W,777 m,VFR Diurno/Noturno,12/30,2470 m,33 m,PCN 30/F/B/X/T,Asfalto
SJXI,MG0311,SANTA RITA DO SAPUCAÍ,SANTA RITA DO SAPUCAÍ,MG,22° 16' 22'' S,45° 38' 24'' W,882 m,VFR Diurno,16/34,1000 m,30 m,"5700 kg / 0,5 MPa",Terra
SNCP,SC0181,REGIONAL DO PLANALTO SERRANO,CORREIA PINTO,SC,27° 38' 3'' S,50° 21' 30'' W,880 m,VFR Diurno e IFR Diurno/Noturno,09/27,1802 m,30 m,PCN 57/F/B/X/T,Asfalto
